ts_ns;bid;bid_volume;ask;ask_volume;last
1700000000000000000;44990.27;5.5604;45002.11;2.9008;44990.27
1700000060000000000;44965.9;3.8533;44977.07;4.7993;44965.9
1700000120000000000;44965.26;3.3244;44971.25;5.3642;44965.26
1700000180000000000;44972.68;2.8274;44982.22;4.4857;44972.68
1700000240000000000;44981.55;0.5664;44997.2;0.4068;44981.55
1700000300000000000;44992.49;2.0925;45007.38;3.6276;44992.49
1700000360000000000;44998.08;3.0987;45011.04;4.0422;45011.04
1700000420000000000;45015.69;3.3974;45025.39;5.6038;45015.69
1700000480000000000;45037.05;1.5321;45045.46;1.8764;45037.05
1700000540000000000;45048.13;0.8253;45053.64;1.8872;45048.13
1700000600000000000;45084.65;0.2032;45100.51;1.4164;45084.65
1700000660000000000;45086.84;2.5051;45104.57;0.6236;45086.84
1700000720000000000;45120.08;0.7054;45127.85;2.129;45127.85
1700000780000000000;45148.21;1.6291;45153.86;0.7861;45148.21
1700000840000000000;45149.68;4.156;45160.5;1.2926;45149.68
1700000900000000000;45193.81;2.6315;45208.58;2.4258;45208.58
1700000960000000000;45199.06;1.7648;45206.04;5.8314;45206.04
1700001020000000000;45248.33;1.2864;45252.6;5.9758;45248.33
1700001080000000000;45219.27;2.7609;45225.32;0.2555;45225.32
1700001140000000000;45252.84;0.6308;45262.24;1.4107;45252.84
1700001200000000000;45223.37;3.8085;45232.53;0.9379;45232.53
1700001260000000000;45261.08;2.4394;45266.99;3.838;45266.99
1700001320000000000;45298.79;1.6471;45314.24;1.3008;45298.79
1700001380000000000;45326.85;2.9986;45336.29;0.6553;45326.85
1700001440000000000;45307.98;5.7836;45312.52;1.5828;45312.52
1700001500000000000;45293.66;3.6595;45309.2;1.9019;45293.66
1700001560000000000;45337.78;0.9331;45355.46;2.9799;45337.78
1700001620000000000;45331.69;1.3831;45348.53;0.2961;45348.53
1700001680000000000;45340.54;0.4703;45348.02;1.8354;45340.54
1700001740000000000;45320.12;2.812;45326.05;2.1196;45320.12
1700001800000000000;45333.39;2.9538;45350.32;2.2733;45350.32
1700001860000000000;45388.43;3.8899;45392.72;2.997;45392.72
1700001920000000000;45378.9;0.6365;45396.89;3.3674;45378.9
1700001980000000000;45424.64;4.2814;45438.96;4.8009;45438.96
1700002040000000000;45425.1;5.4248;45438.69;5.2524;45438.69
1700002100000000000;45477.21;3.0996;45481.63;0.2843;45481.63
1700002160000000000;45479.67;0.619;45483.84;0.7258;45479.67
1700002220000000000;45525.05;4.4236;45541.37;2.4529;45541.37
1700002280000000000;45532.54;0.6859;45548.28;4.5512;45532.54
1700002340000000000;45534.52;0.3293;45539.75;5.7529;45534.52
1700002400000000000;45542.45;5.5387;45555.05;1.6838;45542.45
1700002460000000000;45546.91;3.7482;45552.92;3.2067;45552.92
