ts_ns;bid;bid_volume;ask;ask_volume;last
1700000000000000000;45012.17;3.7191;45021.81;3.9733;45016.99
1700000060000000000;45011.42;1.524;45018.13;1.6132;45014.77
1700000120000000000;45002.19;1.1744;45008.38;1.4293;45005.29
1700000180000000000;45001.34;3.6379;45007.92;3.2314;45004.63
1700000240000000000;45015.72;3.6005;45022.84;3.4591;45019.28
1700000300000000000;45013.78;2.6716;45022.1;2.4363;45017.94
1700000360000000000;45013.68;3.1661;45017.28;2.7175;45015.48
1700000420000000000;45015.41;1.9213;45022.91;1.7078;45019.16
1700000480000000000;45036.2;1.6753;45040.57;1.3624;45038.38
1700000540000000000;45033.29;4.4459;45040.3;3.6468;45036.79
1700000600000000000;45033.94;4.4796;45039.08;3.462;45036.51
1700000660000000000;45025.52;4.431;45034.0;3.2404;45029.76
1700000720000000000;45036.6;4.1163;45046.03;2.8617;45041.32
1700000780000000000;45069.12;3.0157;45072.51;2.6535;45070.82
1700000840000000000;45084.64;5.1184;45094.45;3.6842;45089.54
1700000900000000000;45116.94;3.3074;45125.18;2.2269;45121.06
1700000960000000000;45119.74;3.4715;45123.27;2.8647;45121.5
1700001020000000000;45150.69;2.1378;45155.2;1.3954;45152.94
1700001080000000000;45164.46;2.7647;45173.15;2.2096;45168.81
1700001140000000000;45178.69;5.8248;45184.09;4.1246;45181.39
1700001200000000000;45201.41;5.0172;45207.3;3.3988;45204.36
1700001260000000000;45207.47;3.7634;45212.53;2.5074;45210.0
1700001320000000000;45224.34;2.3507;45233.12;1.4916;45228.73
1700001380000000000;45244.02;3.1893;45252.87;1.7843;45248.44
1700001440000000000;45265.47;2.9643;45272.26;1.9406;45268.87
1700001500000000000;45281.34;1.7996;45289.37;1.4046;45285.35
1700001560000000000;45285.54;2.9335;45294.62;1.6974;45290.08
1700001620000000000;45304.66;2.3756;45310.62;1.4855;45307.64
1700001680000000000;45331.9;4.6456;45338.67;2.8165;45335.29
1700001740000000000;45370.01;6.4515;45373.61;3.8788;45371.81
1700001800000000000;45400.07;4.8562;45407.78;2.975;45403.93
1700001860000000000;45416.82;6.7155;45421.94;4.0729;45419.38
1700001920000000000;45433.69;4.4146;45442.41;2.561;45438.05
1700001980000000000;45449.64;2.9614;45453.26;2.0779;45451.45
1700002040000000000;45472.31;4.1793;45476.08;2.6712;45474.19
1700002100000000000;45490.36;3.5109;45499.37;1.9016;45494.87
1700002160000000000;45533.75;2.3727;45541.19;1.2659;45537.47
1700002220000000000;45553.54;6.2089;45557.57;3.8814;45555.56
1700002280000000000;45571.36;3.3527;45579.11;2.3368;45575.24
1700002340000000000;45603.42;7.4128;45607.61;4.0199;45605.51
1700002400000000000;45606.94;2.8855;45614.22;1.6519;45610.58
1700002460000000000;45639.93;6.3176;45646.91;3.6136;45643.42
1700002520000000000;45669.07;2.554;45674.36;1.8307;45671.71
1700002580000000000;45681.73;3.8056;45687.71;2.2169;45684.72
1700002640000000000;45720.92;4.0709;45726.97;2.4581;45723.94
1700002700000000000;45763.31;7.0704;45768.49;4.1506;45765.9
1700002760000000000;45773.22;6.3932;45778.88;3.3417;45776.05
1700002820000000000;45792.82;6.1622;45800.89;3.3801;45796.85
1700002880000000000;45816.41;3.7177;45819.82;2.3585;45818.12
1700002940000000000;45843.69;3.283;45849.59;2.0732;45846.64
1700003000000000000;45867.24;6.5124;45871.45;3.949;45869.35
1700003060000000000;45891.91;4.3982;45899.27;2.7424;45895.59
1700003120000000000;45935.7;4.1305;45943.33;2.7108;45939.51
1700003180000000000;45956.85;2.1076;45962.53;1.3666;45959.69
1700003240000000000;45998.94;5.8964;46007.12;3.2629;46003.03
1700003300000000000;46010.31;2.4046;46017.53;1.4479;46013.92
1700003360000000000;46037.61;2.3598;46041.46;1.2756;46039.54
1700003420000000000;46066.26;5.4036;46071.43;3.1652;46068.85
1700003480000000000;46091.29;4.0576;46095.68;2.1759;46093.49
1700003540000000000;46104.7;4.9803;46111.15;2.7855;46107.93
1700003600000000000;46147.59;6.1082;46150.75;3.8217;46149.17
1700003660000000000;46153.75;6.9255;46161.58;3.8978;46157.67
1700003720000000000;46191.6;2.6836;46201.39;1.3721;46196.49
1700003780000000000;46197.04;5.8204;46205.61;3.4757;46201.32
1700003840000000000;46220.49;5.0545;46225.39;3.0419;46222.94
1700003900000000000;46256.46;5.6928;46260.84;3.2403;46258.65
1700003960000000000;46289.56;2.7512;46293.79;1.9834;46291.68
1700004020000000000;46292.16;2.0357;46301.99;1.3797;46297.07
1700004080000000000;46315.53;5.796;46322.54;3.4636;46319.04
1700004140000000000;46346.81;4.6488;46352.29;3.2033;46349.55
1700004200000000000;46359.72;2.1289;46368.69;1.5807;46364.21
1700004260000000000;46381.76;2.9347;46390.59;2.0215;46386.18
1700004320000000000;46386.79;4.7236;46390.77;3.0567;46388.78
1700004380000000000;46398.88;5.4741;46405.43;3.697;46402.15
1700004440000000000;46416.75;5.5209;46426.27;3.5343;46421.51
1700004500000000000;46436.1;5.1407;46444.86;3.6121;46440.48
