ts_ns;price;volume;side
1700000000000000000;45012.74;0.2381;4
1700000060000000000;45037.11;2.088;4
1700000120000000000;45047.16;0.9294;4
1700000180000000000;45021.03;1.7105;4
1700000240000000000;45007.52;0.9526;4
1700000300000000000;45005.78;2.3994;4
1700000360000000000;45032.09;0.2367;2
1700000420000000000;45020.35;0.9092;4
1700000480000000000;45046.72;1.4109;4
1700000540000000000;45055.76;0.0948;4
1700000600000000000;45040.03;1.0482;2
1700000660000000000;45055.71;2.2765;2
1700000720000000000;45066.5;0.0685;2
1700000780000000000;45048.27;2.1528;4
1700000840000000000;45082.05;0.5527;4
1700000900000000000;45102.46;1.2816;4
1700000960000000000;45118.05;0.7142;4
1700001020000000000;45123.99;0.5405;4
1700001080000000000;45100.02;1.1282;4
1700001140000000000;45073.24;1.6249;2
1700001200000000000;45092.16;0.8594;2
1700001260000000000;45135.93;0.1698;2
1700001320000000000;45145.54;0.6203;4
1700001380000000000;45153.3;1.4456;4
1700001440000000000;45148.84;0.5365;4
1700001500000000000;45154.17;1.3061;4
1700001560000000000;45130.43;0.7006;4
1700001620000000000;45110.23;1.8874;2
1700001680000000000;45108.73;0.4941;4
1700001740000000000;45088.69;2.0554;4
1700001800000000000;45128.54;1.7561;2
1700001860000000000;45144.39;2.3048;2
1700001920000000000;45181.55;1.6868;2
1700001980000000000;45227.19;0.7559;2
1700002040000000000;45224.19;1.2928;2
1700002100000000000;45244.18;1.1169;2
1700002160000000000;45275.93;1.5497;4
1700002220000000000;45315.93;2.1518;4
1700002280000000000;45354.82;1.2219;2
1700002340000000000;45365.77;1.5528;4
1700002400000000000;45391.46;1.4399;2
1700002460000000000;45417.13;0.1021;2
1700002520000000000;45400.54;1.8346;4
1700002580000000000;45422.74;0.2278;4
1700002640000000000;45415.76;1.7765;4
1700002700000000000;45462.92;0.4219;2
1700002760000000000;45466.48;0.2006;4
1700002820000000000;45491.47;0.2745;2
1700002880000000000;45479.96;2.4094;2
1700002940000000000;45461.88;1.8532;2
1700003000000000000;45489.25;1.9581;2
1700003060000000000;45509.55;2.376;2
1700003120000000000;45509.19;1.6882;2
1700003180000000000;45548.88;2.0071;4
1700003240000000000;45589.64;1.4552;2
1700003300000000000;45609.69;1.5937;4
1700003360000000000;45602.98;1.2414;2
1700003420000000000;45602.88;0.418;4
1700003480000000000;45626.61;1.7262;2
1700003540000000000;45643.02;0.4062;2
1700003600000000000;45635.35;1.6256;4
1700003660000000000;45658.29;1.9524;2
1700003720000000000;45677.53;0.3574;4
1700003780000000000;45677.95;0.6419;4
1700003840000000000;45699.34;0.6156;2
1700003900000000000;45702.24;1.9894;2
1700003960000000000;45744.19;1.4903;4
1700004020000000000;45769.74;1.47;2
1700004080000000000;45808.0;1.539;2
1700004140000000000;45825.67;2.3782;4
1700004200000000000;45847.16;1.3307;2
1700004260000000000;45864.68;1.0878;4
1700004320000000000;45872.71;0.3688;4
1700004380000000000;45872.71;0.5715;2
1700004440000000000;45921.29;1.7515;2
1700004500000000000;45910.38;1.2561;2
1700004560000000000;45908.58;0.2921;4
1700004620000000000;45952.73;2.1738;4
1700004680000000000;45937.52;0.6949;4
1700004740000000000;45922.25;1.2509;4
1700004800000000000;45921.92;0.8737;4
1700004860000000000;45949.33;0.3914;4
1700004920000000000;45936.51;0.41;2
1700004980000000000;45931.74;1.1448;2
1700005040000000000;45963.54;2.0431;4
1700005100000000000;46004.39;0.639;4
