ts_ns,tse_contract_id,action,side,order_id,prev_id,price,quantity
1700000000000000000,0,executed,ask,1,0,43.2,1.08
1700000001000000000,0,executed,bid,2,0,43.2,3.21
1700000002000000000,0,executed,ask,3,0,43.2,1.26
1700000003000000000,0,executed,bid,4,0,43.2,1.66
1700000004000000000,0,executed,bid,5,0,43.2,1.6
1700000005000000000,0,executed,ask,6,0,43.2,1.66
1700000006000000000,0,executed,ask,7,0,43.21,1.02
1700000007000000000,0,executed,ask,8,0,43.2,2.02
1700000008000000000,0,executed,ask,9,0,43.17,60.0
1700000009000000000,0,executed,bid,10,0,43.19,4.87
1700000010000000000,0,executed,bid,11,0,43.21,3.01
1700000011000000000,0,executed,bid,12,0,43.23,2.28
1700000042000000000,0,executed,bid,13,0,43.23,2.69
1700000043000000000,0,executed,ask,14,0,43.23,2.46
1700000044000000000,0,executed,ask,15,0,43.23,1.76
1700000045000000000,0,executed,ask,16,0,43.24,2.24
1700000046000000000,0,executed,ask,17,0,43.23,3.11
1700000047000000000,0,executed,bid,18,0,43.22,1.87
1700000048000000000,0,executed,bid,19,0,43.22,1.3
1700000049000000000,0,executed,ask,20,0,43.22,2.09
1700000050000000000,0,executed,bid,21,0,43.23,1.8
1700000051000000000,0,executed,ask,22,0,43.22,2.83
1700000052000000000,0,executed,ask,23,0,43.22,1.49
1700000053000000000,0,executed,ask,24,0,43.22,2.92
1700000054000000000,0,executed,ask,25,0,43.19,60.0
1700000055000000000,0,executed,bid,26,0,43.21,4.05
1700000056000000000,0,executed,bid,27,0,43.23,4.53
1700000057000000000,0,executed,bid,28,0,43.25,4.33
1700000088000000000,0,executed,bid,29,0,43.25,1.06
1700000089000000000,0,executed,bid,30,0,43.26,1.42
1700000090000000000,0,executed,ask,31,0,43.26,1.63
1700000091000000000,0,executed,bid,32,0,43.26,2.83
1700000092000000000,0,executed,bid,33,0,43.26,1.74
1700000093000000000,0,executed,bid,34,0,43.27,2.75
1700000094000000000,0,executed,bid,35,0,43.28,1.66
1700000095000000000,0,executed,ask,36,0,43.27,1.27
1700000096000000000,0,executed,bid,37,0,43.28,2.88
1700000097000000000,0,executed,bid,38,0,43.28,1.19
1700000098000000000,0,executed,ask,39,0,43.29,2.59
1700000099000000000,0,executed,ask,40,0,43.29,1.03
1700000100000000000,0,executed,ask,41,0,43.26,60.0
1700000101000000000,0,executed,bid,42,0,43.28,4.05
1700000102000000000,0,executed,bid,43,0,43.3,3.61
1700000103000000000,0,executed,bid,44,0,43.32,2.8
1700000134000000000,0,executed,ask,45,0,43.32,1.22
1700000135000000000,0,executed,bid,46,0,43.33,2.91
1700000136000000000,0,executed,bid,47,0,43.32,2.0
1700000137000000000,0,executed,ask,48,0,43.32,2.74
1700000138000000000,0,executed,ask,49,0,43.31,2.83
1700000139000000000,0,executed,ask,50,0,43.32,2.62
1700000140000000000,0,executed,ask,51,0,43.32,1.0
1700000141000000000,0,executed,bid,52,0,43.33,3.79
1700000142000000000,0,executed,ask,53,0,43.32,1.92
1700000143000000000,0,executed,ask,54,0,43.31,3.84
1700000144000000000,0,executed,bid,55,0,43.32,1.21
1700000145000000000,0,executed,ask,56,0,43.32,1.39
1700000146000000000,0,executed,ask,57,0,43.29,60.0
1700000147000000000,0,executed,bid,58,0,43.31,3.65
1700000148000000000,0,executed,bid,59,0,43.33,2.8
1700000149000000000,0,executed,bid,60,0,43.35,4.62
1700000180000000000,0,executed,bid,61,0,43.35,1.42
1700000181000000000,0,executed,ask,62,0,43.35,1.4
1700000182000000000,0,executed,ask,63,0,43.35,2.3
1700000183000000000,0,executed,ask,64,0,43.34,1.24
1700000184000000000,0,executed,bid,65,0,43.33,2.76
1700000185000000000,0,executed,bid,66,0,43.33,1.21
1700000186000000000,0,executed,bid,67,0,43.34,3.72
1700000187000000000,0,executed,bid,68,0,43.34,1.71
1700000188000000000,0,executed,bid,69,0,43.35,1.4
1700000189000000000,0,executed,ask,70,0,43.36,2.42
1700000190000000000,0,executed,ask,71,0,43.35,1.57
1700000191000000000,0,executed,bid,72,0,43.35,2.27
1700000192000000000,0,executed,ask,73,0,43.32,60.0
1700000193000000000,0,executed,bid,74,0,43.34,4.19
1700000194000000000,0,executed,bid,75,0,43.36,4.02
1700000195000000000,0,executed,bid,76,0,43.38,4.95
1700000226000000000,0,executed,bid,77,0,43.38,1.81
1700000227000000000,0,executed,ask,78,0,43.37,1.5
1700000228000000000,0,executed,bid,79,0,43.37,1.84
1700000229000000000,0,executed,bid,80,0,43.37,2.85
1700000230000000000,0,executed,ask,81,0,43.36,2.65
1700000231000000000,0,executed,ask,82,0,43.37,3.51
1700000232000000000,0,executed,ask,83,0,43.36,3.55
1700000233000000000,0,executed,bid,84,0,43.36,1.64
1700000234000000000,0,executed,bid,85,0,43.37,2.14
1700000235000000000,0,executed,bid,86,0,43.37,3.35
1700000236000000000,0,executed,bid,87,0,43.38,3.87
1700000237000000000,0,executed,ask,88,0,43.37,3.16
1700000238000000000,0,executed,ask,89,0,43.34,60.0
1700000239000000000,0,executed,bid,90,0,43.36,2.89
1700000240000000000,0,executed,bid,91,0,43.38,4.91
1700000241000000000,0,executed,bid,92,0,43.4,3.74
1700000272000000000,0,executed,ask,93,0,43.39,2.5
1700000273000000000,0,executed,ask,94,0,43.4,2.01
1700000274000000000,0,executed,bid,95,0,43.39,2.92
1700000275000000000,0,executed,bid,96,0,43.39,2.19
